ANALS_YM,CMPNM_NM,SIGNGU_NM,ADSTRD_NM,AREA_NM,MLSFC_NM,SCLAS_NM,JJINHBT_SALES_PRICE_RATE,JJINHBT_SALES_CO_RATE,OTSD_SALES_PRICE_RATE,OTSD_SALES_CO_RATE,ALL_SALES_PRICE_RATE,ALL_SALES_CO_RATE,VARTION_RT,RANK_CO,GID_ID
202312,다가미 아라점,제주시,아라동,제주시내,분식,분식,0.63000,4.17000,0.02000,0.41000,0.12000,1.76000,0.06000,3140.00000,다나11a98b
202312,서귀샌드,서귀포시,천지동,서귀포시내,한식,단품요리 전문,0.02000,0.12000,0.14000,1.00000,0.13000,0.92000,0.19000,956.00000,다나12a73a
202312,아그네스,서귀포시,천지동,서귀포시내,한식,가정식,0.03000,0.04000,0.00000,0.00000,0.00000,0.01000,0.02000,5179.00000,다나12a73a
202312,선영횟집,서귀포시,송산동,서귀포시내,한식,회,0.00000,0.00000,0.26000,0.11000,0.24000,0.09000,0.07000,2924.00000,다나12b72a
202312,다섯자매베트남,제주시,화북동,제주시내,한식,단품요리 전문,0.11000,0.32000,0.00000,0.05000,0.02000,0.15000,0.02000,4895.00000,다다14a03a
202312,천해향식당,제주시,봉개동,제주시내,한식,가정식,0.69000,1.91000,0.02000,0.11000,0.13000,0.73000,-0.19000,13250.00000,다다15b00a
202312,부가네얼큰이 봉개점,제주시,봉개동,제주시내,피자.치킨.햄버거,치킨,0.28000,0.56000,0.00000,0.00000,0.05000,0.19000,-0.07000,10858.00000,다나15b99b
202312,숙성도 중문점,서귀포시,예래동,서귀포시내,한식,가정식,0.77000,0.44000,8.22000,10.87000,7.89000,9.74000,-2.17000,15109.00000,나나98a74b
202312,카페바나나 중문점,서귀포시,예래동,서귀포시내,카페,커피,0.03000,0.12000,0.13000,0.42000,0.13000,0.41000,0.09000,2285.00000,나나99a74b
202312,해왕성반점 본점,제주시,외도동,제주시내,아시아음식,중식,1.60000,2.70000,0.01000,0.06000,0.27000,0.96000,-0.04000,9213.00000,다나00b99b
202312,도야짬뽕 제주외도점,제주시,외도동,제주시내,아시아음식,중식,0.17000,0.41000,0.02000,0.06000,0.05000,0.19000,-0.19000,13297.00000,다다00b00b
202312,고래맥주,제주시,외도동,제주시내,주점및주류판매,맥주/요리주점,0.62000,0.60000,0.00000,0.01000,0.10000,0.21000,0.05000,3517.00000,다다00b00a
202312,맛좋은우렝이,제주시,외도동,제주시내,한식,가정식,1.02000,0.83000,0.03000,0.06000,0.19000,0.33000,-0.17000,13066.00000,다다00b00a
202312,오션그릴,서귀포시,중문동,서귀포시내,양식,양식,0.07000,0.03000,0.01000,0.01000,0.02000,0.02000,-0.01000,7227.00000,다나00b72a
202312,카페봄봄 예래점,서귀포시,예래동,서귀포시내,카페,커피,0.20000,2.90000,0.02000,0.66000,0.06000,1.56000,-0.33000,14214.00000,나나96a75a
202312,아이스크림할인 중문점,서귀포시,중문동,서귀포시내,카페,커피,0.06000,0.34000,0.00000,0.02000,0.01000,0.13000,-0.11000,12036.00000,다나00a74a
202312,푸라닭 제주이호점,제주시,이호동,제주시내,피자.치킨.햄버거,치킨,0.60000,1.31000,0.02000,0.06000,0.11000,0.49000,0.11000,1974.00000,다다03a00a
202312,도두횟집,제주시,도두동,제주시내,아시아음식,회,0.41000,0.04000,0.10000,0.06000,0.16000,0.07000,-0.01000,7621.00000,다다04a01b
202312,이화원,제주시,노형동,제주시내,아시아음식,중식,4.18000,2.94000,0.06000,0.11000,0.72000,1.08000,-0.15000,12817.00000,다다04b00a
202312,동백화로,서귀포시,동홍동,서귀포시내,한식,가정식,0.77000,0.64000,0.01000,0.03000,0.13000,0.24000,0.06000,3301.00000,다나13b74a
202312,와인팬트리135,제주시,삼양동,제주시내,주점및주류판매,주류,0.60000,1.03000,0.01000,0.05000,0.10000,0.39000,-0.22000,13598.00000,다다15a03a
202312,명도암정식,제주시,봉개동,제주시내,한식,가정식,0.21000,0.33000,0.05000,0.16000,0.08000,0.26000,0.00000,6480.00000,다나17a97b
202312,산지해장국노형직영점,제주시,노형동,제주시내,한식,해장국,2.13000,6.65000,0.22000,1.31000,0.55000,3.38000,-0.56000,14724.00000,다나04b99b
202312,호또모또,제주시,도두동,제주시내,한식,가정식,0.05000,0.04000,0.01000,0.03000,0.02000,0.04000,0.02000,5180.00000,다다04b02a
202312,해조곱창,제주시,노형동,제주시내,한식,곱창,1.23000,0.71000,0.02000,0.03000,0.21000,0.27000,-0.10000,11792.00000,다다04b00a
202312,으뜸아이스크림할인점(월랑점),제주시,노형동,제주시내,간식,아이스크림/빙수,0.27000,2.70000,0.00000,0.08000,0.04000,0.97000,0.01000,5547.00000,다다05a00a
202312,라라블루,제주시,노형동,제주시내,양식,양식,0.15000,0.37000,0.01000,0.10000,0.03000,0.21000,-0.08000,11136.00000,다나05b99b
202312,썬랜드회센터,제주시,연동,제주시내,한식,회,0.05000,0.11000,0.00000,0.02000,0.01000,0.05000,-0.05000,10014.00000,다나06a99b
202312,마린보이횟집,제주시,용담2동,제주시내,일식.회,회,0.45000,0.16000,0.06000,0.08000,0.13000,0.12000,0.06000,3302.00000,다다06b03a
202312,귀한족발 신제주점,제주시,연동,제주시내,한식,족발,0.15000,0.15000,0.00000,0.02000,0.03000,0.07000,-0.03000,9047.00000,다다06b00a
202312,황구촌,제주시,연동,제주시내,한식,가정식,1.72000,2.22000,0.03000,0.09000,0.30000,0.82000,0.23000,735.00000,다다06b00a
202312,운산,제주시,삼도2동,제주시내,한식,단품요리 전문,0.65000,0.48000,0.50000,0.95000,0.58000,1.00000,-0.31000,14129.00000,다다09a03a
202312,산전수전,제주시,삼도2동,제주시내,한식,가정식,1.32000,1.31000,0.01000,0.03000,0.22000,0.47000,-0.09000,11434.00000,다다09a02a
202312,누나네,제주시,노형동,제주시내,한식,가정식,0.50000,0.99000,0.01000,0.09000,0.09000,0.41000,0.02000,4896.00000,다나05a99a
202312,메가엠지씨커피제주한라대점,제주시,노형동,제주시내,음료,커피,0.66000,10.81000,0.02000,0.69000,0.13000,4.23000,0.10000,2236.00000,다나05a98b
202312,골든에스,제주시,노형동,제주시내,한식,단품요리 전문,0.11000,0.04000,0.00000,0.00000,0.02000,0.01000,0.00000,6481.00000,다나05b99b
202312,(주) 성우디엔에프,서귀포시,대천동,서귀포시내,한식,단품요리 전문,0.00000,0.00000,0.00000,0.02000,0.00000,0.01000,0.05000,3664.00000,다나05b71b
202312,와플칸 제주직영점,제주시,연동,제주시내,간식,베이커리,0.20000,1.55000,0.02000,0.35000,0.05000,0.82000,-0.34000,14237.00000,다다06a00a
202312,드롭탑제주용담해안도로점,제주시,용담2동,제주시내,음료,커피,0.30000,1.27000,0.13000,1.18000,0.17000,1.46000,0.20000,927.00000,다다06b03b
202312,메가엠지씨커피제주중앙중점,제주시,연동,제주시내,음료,커피,0.98000,15.18000,0.02000,0.57000,0.17000,5.59000,0.31000,460.00000,다나06b99b
202312,지코바치킨 연동점,제주시,연동,제주시내,패스트푸드,치킨,0.45000,1.19000,0.01000,0.06000,0.08000,0.45000,-0.05000,9861.00000,다나07a99b
202312,(주)시더스초밥제주연동점,제주시,연동,제주시내,한식,일식,0.16000,0.16000,0.00000,0.00000,0.03000,0.05000,0.18000,1061.00000,다나07a99b
202312,샘이네집,제주시,용담1동,제주시내,한식,가정식,0.01000,0.04000,0.00000,0.00000,0.00000,0.01000,0.09000,2323.00000,다다08b02b
202312,얄랑,제주시,삼도2동,제주시내,양식,양식,0.00000,0.00000,0.03000,0.38000,0.02000,0.33000,-0.21000,13514.00000,다다08b03a
202312,컴포즈커피제주서사라점,제주시,삼도1동,제주시내,음료,커피,0.85000,10.25000,0.04000,1.10000,0.17000,4.40000,-0.67000,14822.00000,다다08b01a
202312,치맥집,제주시,삼도1동,제주시내,한식,가정식,0.71000,1.19000,0.04000,0.14000,0.15000,0.52000,0.09000,2473.00000,다다08b01a
202312,272커피(coffee),제주시,이도2동,제주시내,음료,커피,0.07000,0.52000,0.00000,0.05000,0.01000,0.21000,-0.08000,11137.00000,다다09a01a
202312,제주삼춘네,제주시,일도1동,제주시내,한식,가정식,0.02000,0.12000,0.05000,0.63000,0.05000,0.60000,-0.28000,13972.00000,다다09b02b
202312,유피에스,제주시,이도2동,제주시내,주점및주류판매,맥주/요리주점,0.13000,0.28000,0.00000,0.00000,0.02000,0.09000,-0.01000,7051.00000,다다09b01a
202312,주도,제주시,이도2동,제주시내,한식,가정식,0.29000,0.24000,0.01000,0.03000,0.06000,0.11000,0.20000,904.00000,다다10a01a
202312,미락육회막국수,제주시,아라동,제주시내,한식,면류,0.08000,0.21000,0.01000,0.06000,0.02000,0.12000,-0.03000,8761.00000,다나10a99b
202312,하찌,서귀포시,대륜동,서귀포시내,아시아음식,일식,0.19000,0.04000,0.63000,0.26000,0.62000,0.24000,-0.14000,12552.00000,다나10a73a
202312,도연식당,제주시,일도2동,제주시내,한식,단품요리 전문,0.11000,0.16000,0.04000,0.09000,0.05000,0.13000,0.09000,2374.00000,다다10b01b
202312,호맥 아라점,제주시,아라동,제주시내,한식,단품요리 전문,0.72000,0.95000,0.02000,0.05000,0.13000,0.36000,-0.14000,12553.00000,다나11a98a
202312,천디저트카페,제주시,이도2동,제주시내,음료,커피,0.10000,0.26000,0.00000,0.00000,0.02000,0.09000,0.19000,969.00000,다다11a00b
202312,공심,제주시,이도2동,제주시내,간식,베이커리,0.20000,0.24000,0.00000,0.00000,0.03000,0.08000,-0.05000,10015.00000,다다11a01a
202312,와인#,제주시,이도2동,제주시내,주점및주류판매,주류,0.77000,1.03000,0.05000,0.09000,0.17000,0.43000,-0.03000,8512.00000,다다11b00b
202312,복덩이숯불갈비,서귀포시,동홍동,서귀포시내,한식,갈비,6.85000,5.68000,0.18000,0.32000,1.26000,2.18000,-0.23000,13696.00000,다나12a75a
202312,현가네정식,서귀포시,천지동,서귀포시내,한식,가정식,0.07000,0.15000,0.05000,0.11000,0.06000,0.15000,0.01000,5548.00000,다나12b73b
202312,아우라키친,제주시,아라동,제주시내,일식.회,일식,0.58000,1.51000,0.09000,0.47000,0.17000,0.92000,0.53000,170.00000,다나12b96b
202312,카페마체베트제주KT,제주시,이도1동,제주시내,음료,커피,0.32000,3.06000,0.00000,0.08000,0.06000,1.09000,0.10000,2231.00000,다다09a01b
202312,난타5000 제주도남점,제주시,이도2동,제주시내,피자.치킨.햄버거,피자,0.57000,1.91000,0.00000,0.03000,0.09000,0.67000,-0.18000,13215.00000,다다09b00b
202312,신현대식당,제주시,건입동,제주시내,한식,가정식,0.11000,0.20000,0.16000,0.35000,0.17000,0.37000,-0.02000,8361.00000,다다09b03a
202312,산적,제주시,이도2동,제주시내,한식,가정식,1.46000,1.27000,0.03000,0.06000,0.26000,0.48000,-0.07000,10859.00000,다다09b01a
202312,르부이부이,제주시,건입동,제주시내,한식,가정식,0.40000,0.20000,0.10000,0.09000,0.16000,0.15000,0.07000,2925.00000,다다10b03a
202312,치로리,제주시,일도2동,제주시내,아시아음식,일식,1.33000,0.68000,0.05000,0.06000,0.26000,0.28000,0.02000,5382.00000,다다10b01b
202312,와플반트,제주시,일도2동,제주시내,간식,베이커리,0.79000,2.38000,0.00000,0.08000,0.13000,0.86000,-0.11000,11973.00000,다다11a01b
202312,창영왕족발,제주시,일도2동,제주시내,한식,족발,0.53000,0.83000,0.00000,0.02000,0.09000,0.29000,-0.06000,10240.00000,다다11a01a
202312,세컨드하우스,제주시,아라동,제주시내,한식,단품요리 전문,0.06000,0.44000,0.00000,0.02000,0.01000,0.16000,-0.02000,7882.00000,다나11b98a
202312,귤하르방,서귀포시,중앙동,서귀포시내,한식,베이커리,0.00000,0.04000,0.11000,2.08000,0.11000,1.85000,-0.23000,13644.00000,다나12b73b
202312,이야이야요,서귀포시,중앙동,서귀포시내,한식,단품요리 전문,0.00000,0.00000,0.01000,0.16000,0.01000,0.14000,0.03000,4575.00000,다나12b73b
202312,호재옻닭,서귀포시,동홍동,서귀포시내,한식,치킨,0.31000,0.28000,0.00000,0.00000,0.05000,0.09000,0.09000,2375.00000,다나12b76b
202312,고랫물집,제주시,화북동,제주시내,한식,가정식,0.09000,0.12000,0.00000,0.00000,0.01000,0.04000,-0.03000,8762.00000,다다13a04a
202312,미래부페장식,서귀포시,영천동,서귀포시내,한식,뷔페,3.35000,10.21000,0.12000,1.09000,0.64000,4.38000,0.03000,4292.00000,다나14b75b
202312,중문자연산횟집,서귀포시,예래동,서귀포시내,일식.회,회,0.00000,0.00000,0.19000,0.15000,0.18000,0.13000,0.05000,3771.00000,나나99a74a
202312,민한우정육식당,제주시,외도동,제주시내,한식,소고기,2.28000,2.92000,0.09000,0.29000,0.45000,1.24000,-0.14000,12523.00000,다다00a00b
202312,아왜낭목제빵소,서귀포시,대천동,서귀포시내,간식,베이커리,0.38000,1.23000,0.06000,0.42000,0.11000,0.78000,0.29000,523.00000,다나03a72b
202312,쉼표,제주시,노형동,제주시내,한식,커피,0.20000,0.70000,0.00000,0.03000,0.03000,0.26000,-0.21000,13515.00000,다나05b98a
